id,year,month,day,hour,minute,second,Humidity,Temperature (Celcius),Temperature (Fahrenheit),BOX 01 DoorStatus,BOX 02 DoorStatus,BOX 03 DoorStatus,BOX 04 DoorStatus,BOX 05 DoorStatus,BOX 06 DoorStatus
247,2016,12,14,11,46,32,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
248,2016,12,14,11,46,34,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
249,2016,12,14,11,46,36,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
250,2016,12,14,11,46,38,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
251,2016,12,14,11,46,41,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
252,2016,12,14,11,46,43,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
253,2016,12,14,11,46,45,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
254,2016,12,14,11,46,48,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
255,2016,12,14,11,46,50,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
256,2016,12,14,11,46,52,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
257,2016,12,14,11,46,54,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
258,2016,12,14,11,46,57,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
259,2016,12,14,11,46,59,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
260,2016,12,14,11,47,1,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
261,2016,12,14,11,47,3,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
262,2016,12,14,11,47,6,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
263,2016,12,14,11,47,8,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
